id,firstName,lastName,fullName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,birthDate,birthCountry,headshot
8485702,Maxim,Shabanov,Maxim Shabanov,49,R,L,69,167,2000-10-07,RUS,https://assets.nhle.com/mugs/nhl/20262027/MIN/8485702.png
8479972,Mason,Shaw,Mason Shaw,15,C,L,70,184,1998-11-03,CAN,https://assets.nhle.com/mugs/nhl/20262027/MIN/8479972.png
8484231,Charlie,Stramel,Charlie Stramel,,C,R,75,212,2004-10-15,USA,https://assets.nhle.com/mugs/nhl/20262027/MIN/8484231.png
8481477,Nico,Sturm,Nico Sturm,78,C,L,75,209,1995-05-03,DEU,https://assets.nhle.com/mugs/nhl/20262027/MIN/8481477.png
8478508,Yakov,Trenin,Yakov Trenin,13,C,L,74,201,1997-01-13,RUS,https://assets.nhle.com/mugs/nhl/20262027/MIN/8478508.png
8483525,Danila,Yurov,Danila Yurov,22,R,L,73,178,2003-12-22,RUS,https://assets.nhle.com/mugs/nhl/20262027/MIN/8483525.png
8474567,Zach,Bogosian,Zach Bogosian,24,D,R,75,231,1990-07-15,USA,https://assets.nhle.com/mugs/nhl/20262027/MIN/8474567.png
8476463,Jonas,Brodin,Jonas Brodin,25,D,L,74,196,1993-07-12,SWE,https://assets.nhle.com/mugs/nhl/20262027/MIN/8476463.png
8486182,Ben,Dexheimer,Ben Dexheimer,,D,,70,180,2002-06-21,USA,https://assets.nhle.com/mugs/nhl/20262027/MIN/8486182.png
8482122,Brock,Faber,Brock Faber,7,D,R,73,200,2002-08-22,USA,https://assets.nhle.com/mugs/nhl/20262027/MIN/8482122.png
8486166,Viking,Gustafsson Nyberg,Viking Gustafsson Nyberg,6,D,L,78,225,2003-09-21,SWE,https://assets.nhle.com/mugs/nhl/20262027/MIN/8486166.png
8480800,Quinn,Hughes,Quinn Hughes,43,D,L,70,180,1999-10-14,USA,https://assets.nhle.com/mugs/nhl/20262027/MIN/8480800.png
8482094,Daemon,Hunt,Daemon Hunt,48,D,L,73,193,2002-05-15,CAN,https://assets.nhle.com/mugs/nhl/20262027/MIN/8482094.png
8482641,Matt,Kiersted,Matt Kiersted,26,D,L,72,182,1998-04-14,USA,https://assets.nhle.com/mugs/nhl/20262027/MIN/8482641.png
8482781,Carson,Lambos,Carson Lambos,28,D,L,73,197,2003-01-14,CAN,https://assets.nhle.com/mugs/nhl/20262027/MIN/8482781.png
8485074,Stevie,Leskovar,Stevie Leskovar,,D,L,75,207,2004-09-09,CAN,https://assets.nhle.com/mugs/nhl/20262027/MIN/8485074.png
8476874,Olli,Maatta,Olli Maatta,3,D,L,74,207,1994-08-22,FIN,https://assets.nhle.com/mugs/nhl/20262027/MIN/8476874.png
8482686,Jack,Peart,Jack Peart,49,D,L,71,186,2003-05-15,USA,https://assets.nhle.com/mugs/nhl/20262027/MIN/8482686.png
8482693,Roman,Schmidt,Roman Schmidt,,D,R,77,225,2003-02-27,USA,https://assets.nhle.com/mugs/nhl/20262027/MIN/8482693.png
8483766,David,Spacek,David Spacek,82,D,R,72,174,2003-02-18,USA,https://assets.nhle.com/mugs/nhl/20262027/MIN/8483766.png
8474716,Jared,Spurgeon,Jared Spurgeon,46,D,R,69,166,1989-11-29,CAN,https://assets.nhle.com/mugs/nhl/20262027/MIN/8474716.png
8479406,Filip,Gustavsson,Filip Gustavsson,32,G,L,74,184,1998-06-07,SWE,https://assets.nhle.com/mugs/nhl/20262027/MIN/8479406.png
8483918,Riley,Mercer,Riley Mercer,50,G,L,73,200,2004-03-31,CAN,https://assets.nhle.com/mugs/nhl/20262027/MIN/8483918.png
8475717,Calvin,Pickard,Calvin Pickard,31,G,L,73,206,1992-04-15,CAN,https://assets.nhle.com/mugs/nhl/20262027/MIN/8475717.png
8486275,Filip,Ruzicka,Filip Ruzicka,,G,L,79,230,2008-03-24,CZE,https://assets.nhle.com/mugs/nhl/20262027/MIN/8486275.png
8482661,Jesper,Wallstedt,Jesper Wallstedt,30,G,L,75,214,2002-11-14,SWE,https://assets.nhle.com/mugs/nhl/20262027/MIN/8482661.png
8485037,Chase,Wutzke,Chase Wutzke,95,G,L,74,158,2006-07-26,CAN,https://assets.nhle.com/mugs/nhl/20262027/MIN/8485037.png
